,titles,abstarcts
384,"
                  A Comparison of PCA, KPCA and LDA for Feature Extraction to Recognize Affect in Gait Kinematics
                  ","""... This study investigates recognition of affect in human walking as daily motion, in order to provide a means for affect recognition at distance. For this purpose, a data base of affective gait patterns from non-professional actors has been recorded with optical motion tracking. Principal Component An ..."""
385,"
                  Nonlinear Discriminant Analysis using Kernel Functions
                  ","""... Fishers linear discriminant analysis (LDA) is a classical multivariate technique both for dimension reduction and classication. The data vectors are transformed into a low dimensional subspace such that the class centroids are spread out as much as possible. In this subspace LDA works as a simple pr ..."""
386,"
                  Distributed algorithms for topic models
                  ","""... We describe distributed algorithms for two widely-used topic models, namely the Latent Dirichlet Allocation (LDA) model, and the Hierarchical Dirichet Process (HDP) model. In our distributed algorithms the data is partitioned across separate processors and inference is done in a parallel, distribute ..."""
387,"
                  It Is Not Just What We Say, But How We Say Them: LDA-based Behavior-Topic Model
                  ","""... Textual information exchanged among users on online social network platforms provides deep understanding into user-s ’ interest and behavioral patterns. However, unlike tradi-tional text-dominant settings such as offline publishing, one distinct feature for online social network is users ’ rich inte ..."""
388,"
                  The Loss-Delay Based Adjustment Algorithm: A TCP-Friendly Adaptation Scheme
                  ","""... Many distributed multimedia applications have the ability to adapt to fluctuations in the network conditions. By adjusting temporal and spatial quality to available bandwidth, or manipulating the playout time of continuous media in response to variations in delay, multimedia flows can keep an accept ..."""
389,"
                  M.: Biologically-aware Latent Dirichlet Allocation (BaLDA) for the Classification of Expression Microarray
                  ","""... Abstract. Topic models have recently shown to be really useful tools for the analysis of microarray experiments. In particular they have been successfully applied to gene clustering and, very recently, also to samples classification. In this latter case, nevertheless, the basic assumption of functio ..."""
390,"
                  Statistics in Face Recognition: Analyzing Probability Distributions of PCA, ICA and LDA Performance Results
                  ","""... In this paper we address the issue of evaluating face recognition algorithms using descriptive statistical tools. By using permutation methodology in a Monte Carlo sampling procedure, we investigate recognition rate results probability distributions of some wellknown algorithms (namely, PCA, ICA and ..."""
391,"
                  Development and integration of the LDA-toolkit into the COST249 speechdat (II) SIG reference recognizer
                  ","""... This paper presents the development of Linear Discriminant Analysis toolkit (LDA-Toolkit) and its integration into widely used COST249 SpeechDat(II) Task Force Reference Recognizer (RefRec). The crucial parts of the LDA, the determination of LDA classes, as well as the influence of the level of dime ..."""
392,"
                  Comparison of LDA and PCA for Korean Pro Go Player&aposs Opening Recognition
                  ","""... The game of Go, which is originated at least more than 2,500 years ago, is one of the oldest board games in the world. So far the theoretical studies concerning to the Go openings are still insufficient. We applied traditional LDA algorithm to recognize a pro player&aposs opening to a class obtaine ..."""
393,"
                  Research Article Enhanced Z-LDA for Small Sample Size Training in Brain-Computer Interface Systems
                  ","""... which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. Background. Usually the training set of online brain-computer interface (BCI) experiment is small. For the small training set, it lacks enough information to deeply train the c ..."""
394,"
                  On Using a Pre-clustering Technique to Optimize LDA-Based Classifiers for Appearance-Based Face Recognition ⋆
                  ","""... Abstract. Fisher’s Linear Discriminant Analysis (LDA) is a traditional dimensionality reduction method that has been proven to be successful for decades. To enhance the LDA’s power for high-dimensional pattern classification, such as face recognition, numerous LDA-extension approaches have been prop ..."""
395,"
                  A Unified Framework for Subspace Face Recognition
                  ","""... Abstract—PCA, LDA, and Bayesian analysis are the three most representative subspace face recognition approaches. In this paper, we show that they can be unified under the same framework. We first model face difference with three components: intrinsic difference, transformation difference, and noise. ..."""
396,"
                  MANUSCRIPT, SUBMITTED TO IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE 1 Uncertain LDA: Including observation uncertainties in discriminative transforms
                  ","""... Abstract—Linear discriminant analysis (LDA) is a powerful technique in pattern recognition to reduce the dimensionality of data vectors. It max-imizes discriminability by retaining only those directions that minimize the ratio of within-class and between-class variance. In this paper, using the same ..."""
397,"
                  Hemi-Labile Ligands in Organolithium Chemistry: Rate Studies of the LDA-Mediated R-and -Metalations of Epoxides
                  ","""...  Abstract: Lithium diisopropylamide (LDA)-mediated R-and -eliminations of epoxides are described. A comparison between LDA/n-BuOMe mixtures and LDA/MeOCH 2 CH 2 NMe 2 (LDA/3) mixtures reveals that the LDA dimer solvated by the ""hemi-labile"" amino ether 3 imparts dramatic rate accelerations ..."""
398,"
                  Regularized lda based on separable scatter matrices for classification of spatio-spectral EEG patterns
                  ","""... Linear discriminant analysis (LDA) is a commonly-used fea-ture extraction technique. For matrix-variate data such as spatio-spectral electroencephalogram (EEG), matrix-variate LDA formulations have been proposed. Compared to the standard vector-variate LDA, these formulations assume a separable stru ..."""
399,"
                  A new nonlinear discriminant analysis algorithm using a combined version of LDA and LLE
                  ","""... Abstract — Linear discriminant analysis (LDA) is a simple but widely used algorithm in pattern recognition. However it has some shortcomings in that it is sensitive to outliers and limited to linearly separable cases. To solve this problem a new version of nonlinear discriminant algorithm is propose ..."""
400,"
                  Face Recognition using Radial Basis Function Network based on LDA Byung-Joo Oh
                  ","""... Abstract—This paper describes a method to improve the robustness of a face recognition system based on the combination of two compensating classifiers. The face images are preprocessed by the appearance-based statistical approaches such as Principal Component Analysis (PCA) and Linear Discriminant A ..."""
401,"
                  A probabilistic interpretation of canonical correlation analysis
                  ","""... We give a probabilistic interpretation of canonical correlation (CCA) analysis as a latent variable model for two Gaussian random vectors. Our interpretation is similar to the probabilistic interpretation of principal component analysis (Tipping and Bishop, 1999, Roweis, 1998). In addition, we can i ..."""
402,"
LDA and PIV Measurements and Numerical Simulation on In-Cylinder Flow Under Steady State Flow Condition
                  ","""... In the area of the internal combustion engine designing, it is important to control the airflow in engine cylinder and necessary to understand the airflow and combustion by measurements and numerical simulations in order to reduce the exhaust emissions and improve the efficiency. In this report, cha ..."""
403,"
                  The copy right of this paper is reserved to its society or publisher FACE DESCRIPTION BASED ON DECOMPOSITION AND COMBINING OF A FACIAL SPACE WITH LDA
","""... We propose a method of efficient face description for facial image retrieval from a large data set. The novel descriptor is obtained by decomposing the face image into several components and then combining the component features. The decomposition combined with LDA (Linear Discriminant Analysis) pro ..."""
404,"
                  LightLDA: Big topic models on modest compute clusters. page arXiv:1412.1576 [stat.ML
                  ","""... When building large-scale machine learning (ML) programs, such as massive topic models or deep neural networks with up to trillions of parameters and training examples, one usually assumes that such massive tasks can only be attempted with industrial-sized clusters with thousands of nodes, which are ..."""
405,"
                  A Wikipedia-LDA Model for Entity Linking with Batch Size Changing Instance Selection
                  ","""... Entity linking maps name mentions in context to entries in a knowledge base through resolving the name variations and ambiguities. In this paper, we propose two advancements for entity linking. First, a Wikipedia-LDA method is proposed to model the contexts as the probability distributions over Wiki ..."""
406,"
                  doi:10.1155/2010/647597 Research Article Fusion of PCA-Based and LDA-Based Similarity Measures for Face Verification
                  ","""... Copyright © 2010 Mohammad T. Sadeghi et al. This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. The problem of fusing similarity measure- ..."""
407,"
                  End-to-end Learning of LDA by Mirror-Descent Back Propagation over a Deep Architecture
                  ","""... We develop a fully discriminative learning approach for supervised Latent Dirich-let Allocation (LDA) model using Back Propagation (i.e., BP-sLDA), which max-imizes the posterior probability of the prediction variable given the input doc-ument. Different from traditional variational learning or Gibb ..."""
408,"
                  A New Method for Classification of Chinese Herbal Medicines Based on Local Tangent Space Alignment and LDA
","""... Abstract—Controlling the quality of Chinese herbal medicines (CHMs) is a challenging issue due to the complex and diverge specification of components in herbs. The main purpose of this study is to develop an algorithm for species identification of CHMs. An electronic nose (E-nose) was employed to co ..."""
409,"
                  A Novel Approach for Predicting the Probability of Inconsistent Changes to Code Clones Based LDA
","""... Abstract- Inconsistent changes to code clones can create faults and, hence, lead to incorrect program behavior. Consequently, these clones increase the change effort when software is maintained. In order to improve software quality and to help programmers pre attention the hidden trouble of clone in ..."""
410,"
                  Available online at: www.ijarcsse.com Spam Detection using G-LDA
","""... Abstract — Spam is any unwanted message, especially advertisement and fraud schemes. The average cost of spam per employee per year at 82 of the Fortune 500 companies is estimated to be $1934. The paper proposes a novel process called G-LDA, which takes concepts from Latent Dirichlet Allocation (LDA ..."""
411,"
                  Improved Recognition Performance with LDA and ICA Using Vertically and Horizontally Partitioned Facial Images
                  ","""... Abstract: A comparative recognition performance of LDA- and ICA-based multiple classifier systems for face recognition is presented using vertically and horizontally partitioned facial images. A face image is partitioned into several vertical and horizontal segments and a multiple classifier based d ..."""
412,"
                  Analysis on Flow Around a Rectangular Cube by Means of LDA, PIV and the Numerical Simulation by PCC Method
                  ","""... Analysis on flow around a rectangular cube set on the floor in a rectangular channel is described. The study is carried out using two-dimensional laser Doppler anemometry (2D-LDA) with fiber optics, Particle Image Velocimetry (PIV) and numerical simulation by PCC (Partial Cells in Cartesian coordina ..."""
413,"
                  The LDA+U Effect on the Electronic Structure and Magnetism of Bulk, Monolayer, and Linear Chain of Iron
                  ","""... We examine the effect of U term (U = 3 eV) describing the Coulomb interactions between electrons on the results of electronic band structure calculations carried out for bcc Fe bulk, monolayer, and chain. We investi-gated the properties of the three Fe structures by using the all-electron total-ener ..."""
414,"
                  PCA plus LDA on Wavelet Co-occurrence Histogram Features for Texture Classification and its Applications
                  ","""... In this paper, we propose a combined approach, namely, PCA plus LDA on Wavelet Co-occurrence Histogram Features (WCHF) for texture classification. The texture features are extracted using the Wavelet Co-occurrence Histogram (WCH) from wavelet decomposed images, which capture the information about re ..."""
415,"
                  An Improved NN Training Scheme Using Two-Stage LDA Features for Face Recognition
                  ","""... Abstract. This paper presents a new approach based on a Two-Stage Linear Discriminant Analysis (Two-Stage LDA) and Conjugate Gradient Algorithms (CGAs) for face recognition. A Two-Stage LDA technique is proposed that utilises the null space of the sample covariance matrix as well as using the range  ..."""
416,"
                  FACIAL EMOTION RECOGNITION BASED ON TWO-DIMENSIONAL EMPIRICAL MODE DECOMPOSITION AND PCA PLUS LDA
","""...  ABSTRACT This paper proposes a new approach of using nonlinear technique, two-dimensional empirical mode decomposition (2DEMD) and PCA plus LDA for facial emotion recognition. The EMD is a non-parametric data-driven analysis tools which decomposes any nonlinear and non-stationary signals into a num ..."""
417,"
                  A comparative study of DFT/LDA with higher levels of theory on π-π interactions: A typical case for the benzene dimer
                  ","""...  Abstract The description of the interactions involving species that have π-π configuration presents a real challenge in utilizing theoretical calculations. The problem arises from the kind of theoretical approaches employed to describe the nature of these non-covalent interactions. Various workers  ..."""
418,"
                  Implementation of the Projector Augmented Wave LDA+U Method: Application to the Electronic Structure of NiO
                  ","""... The so-called local density approximation plus the multi-orbital mean-field Hubbard model (LDA+U) has been implemented within the all-electron projector augmented-wave method (PAW), and then used to compute the insulating antiferromagnetic ground state of NiO and its optical properties. The electron ..."""
419,"
                  Licensed Under Creative Commons Attribution CC BY GAIT Recognition using PAL and PAL entropy with LDA and MDA
                  ","""... Abstract: Gait recognition is one kind of biometric technology that can be used to monitor people without their cooperation. The Gait shows a particular way or manner of moving on foot and gait recognition is the process of identifying an individual by the manner of walk. And Gait is less unobtrusiv ..."""
420,"
                  A New Face Recognition Framework: Symmetrical Bilateral 2DPLS plus LDA
","""... Abstract—A novel face recognition framework is proposed in this paper to alleviate ""Small Sample Size "" (SSS) problem of the conventional Linear Discriminant Analysis (LDA). This method is based on the feature extraction of global odd and even face image representation, and a dimension red ..."""
421,"
                  Abstract Component-based LDA face description for image retrieval and MPEG-7 standardisation
                  ","""... We propose a method of face description for facial image retrieval from a large data base and for MPEG-7 (Moving Picture Experts Group) standardisation. The novel descriptor is obtained by decomposing a face image into several components and then combining the component features. The decomposition c ..."""
422,"
                  Principle Component Analysis (PCA) and Linear Discriminant Analysis (LDA) based Face Recognition
                  ","""... This paper presents study of face recognition system which is based on Principal Component Analysis (PCA) and Linear Discriminant Analysis (LDA) [1], [2]. These methods are used for feature extrac-tion and dimension reduction. Nearest Neighbour Classifier (NNC) is used for classification. For matchi ..."""
423,"
                  First-principles LDA+U and GGA+U study of cerium oxides: Dependence on the effective U parameter
                  ","""... The electronic structure and properties of cerium oxides CeO2 and Ce2O3  have been studied in the framework of the LDA+U and GGAPW91+U implementations of density functional theory. The depen-dence of selected observables of these materials on the effective U parameter has been investigated in detail ..."""
424,"
                  1 Maximizing power to track Alzheimer&aposs disease and MCI progression by LDA-based
                  ","""... journal homepage: www.elsevier.com/locate/ynimg ..."""
425,"
                    Recognizing Facial Expression: Machine Learning and Application to Spontaneous Behavior
                  ","""... We present a systematic comparison of machine learning methods applied to the problem of fully automatic recognition of facial expressions. We report results on a series of experiments comparing recognition engines, including AdaBoost, support vector machines, linear discriminant analysis. We also e ..."""
426,"
                  Predicting Thyroid Disease using Linear Discriminant Analysis (LDA) Data Mining Technique
                  ","""... Thyroid disease is very common disease in human. Nowadays most of the women suffering from thyroid disease than male. There are two types in thyroid disease like hypothyroid and hyperthyroid disease. These diseases giving many side effects such as weight gain, weight loss, stress and so on to our hu ..."""
427,"
                  Review on:- Human Identification using GAIT Recognition Technique with PAL and PAL entropy, SVM and k-means with LDA
","""... Abstract:- Gait recognition is one kind of biometric technology that can be used to monitor people without their cooperation. The controlled environments such as banks; military installations and even airports need to be able to quickly detect threats and provide differing levels of access to differ ..."""
428,"
                  Human Identification using GAIT Recognition Technique with PAL and PAL entropy, SVM And k-means with LDA
","""... Abstract:- Gait recognition is one kind of biometric technology that can be used to monitor people without their cooperation. The controlled environments such as banks; military installations and even airports need to be able to quickly detect threats and provide differing levels of access to differ ..."""
429,"
                  Article Protein Sub-Nuclear Localization Based on Effective Fusion Representations and Dimension Reduction Algorithm LDA
","""... Abstract: An effective representation of a protein sequence plays a crucial role in protein sub-nuclear localization. The existing representations, such as dipeptide composition (DipC), pseudo-amino acid composition (PseAAC) and position specific scoring matrix (PSSM), are insufficient to represent  ..."""
430,"
                  Revised R-LDA based ANN for Small Sample Size (SSS) Problem of Face Recognition
                  ","""... A face recognition (FR) system is automatically identifying or verifying a personal face acquired from a digital camera or a image generation device. In order to do this, facial features from the acquired image should be extracted and compared with a facial database. All FRs face an obstacle related ..."""
431,"
                  tion of the HDA and LDA S(Q) functions. Several combinations of the S(Q) of the HDA
                  ","""... are the data from the sample annealed at 105 K. The annealed structures factors cannot be produced by any combination of LDA and HDA. We note the region in Fig. 1D where the x-ray curves intersect at 2.05 Å1, the peak is at 2.09 Å1 for the annealed sample, and there is only a small error in the data ..."""
432,"
                  tion of the HDA and LDA S(Q) functions. Several combinations of the S(Q) of the HDA
                  ","""... are the data from the sample annealed at 105 K. The annealed structures factors cannot be produced by any combination of LDA and HDA. We note the region in Fig. 1D where the x-ray curves intersect at 2.05 Å1, the peak is at 2.09 Å1 for the annealed sample, and there is only a small error in the data ..."""
433,"
                  Combining Block-based PCA, Global PCA and LDA for Feature Extraction in Face Recognition 1
                  ","""... This paper presents a novel methodology for pattern classification, combining different feature extraction approaches, more precisely, global PCA, block-based PCA and LDA in order to improve the face classification performance. Block-based PCA is a new technique that is being widely used for feature ..."""
434,"
                  The Corrected Normalized Correlation Coefficient: A Novel Way Of Matching Score Calculation for LDA-Based Face Verification ∗
                  ","""... The paper presents a novel way of matching score calculation for LDA-based face verification. Different from the classical matching schemes, where the decision regarding the identity of the user currently presented to the face verification system is made based on the similarity (or distance) between ..."""
435,"
                  A Novel Identification Method of Two Phase Flow Based on LDA Feature Extraction
                  ","""... Abstract—Two-phase flow measurement plays an increasingly important role in the real-time, on-line control of industrial processes including fault detection and system malfunction. The flow regime parameter is one of the most important parameters in measurements. This paper proposes a new identifica ..."""
436,"
                  PAPER ID: 101 Gabor-based Face Recognition Under Varying Pose and Expression Using PCA plus LDA
","""... Abstrak – A pose and expression robust Gaborbased face recognition method is proposed in this paper. This involves convolving a face image with a series of Gabor wavelets at different scales, locations, and orientations. Linear Subspace methods such as Principal Component Analysis (PCA) and Linear D ..."""
437,"
                  Quantitative Modeling of Operational RiskBasel II LDA g-and-h Aggregation Conclusion and References
                  ","""... - mainly CR- minimum risk capital (MRC)  ≥ 8 % of risk weighted assets (Cooke Ratio) • 1993 Birth of VaR- “G-30 Report ” addressing incorporation of off-balance sheet products (first time “VaR ” appears)- need for proper RM of these products P. Embrechts ETH Zurich Quantitative Modeling of Operation ..."""
438,"
                  2D Face Recognition System Based on Selected Gabor Filters and Linear Discriminant Analysis LDA
","""... In this paper, we present a new approach for face recognition system. The method is based on 2D face image features using subset of non-correlated and Orthogonal Gabor Filters instead of using the whole Gabor Filter Bank, then compressing the output feature vector using Linear Discriminant Analysis  ..."""
439,"
                  Image Denoising using Neural Network with SVM (Support Vector Machine) and LDA (Linear Discriminant Analysis)
                  ","""... Abstract — the medical figure technology is become a much powerful component for number of applications such as diagnosis; research; and treatment. Medical figure like X-Ray; CT; MRI; PET and SPECT have small information about heart brain and nerves. All of These figures need to be exact and free fr ..."""
440,"
                  Review On: An Efficient Technique of Noising and De-Noising Medical Images Using Neuro – FUZZY and LDA
","""... Abstract — Medical imaging technology is becoming an important component of large number of applications such as diagnosis, research, and treatment. Medical images like X-Ray, CT, MRI, PET and SPECT have minute information about heart brain and nerves. These images need to be accurate and free from  ..."""
441,"
                  1LDA: An Experimental Whole Field Investigation on Confined Rotating Flow with and without Vortex Breakdown by
                  ","""... Rich complicated flow problems present in rotating flow inside cylindrical container, secondary flows, vortex breakdown, to name a few. The experimental research on vortex breakdown in rotating flows has been limited to visualizations up to now, and there are few quantitative measurement results. Fo ..."""
442,"
                  Low Reynolds Numbers LDA-Experimental Analysis of the Near-Field of an Isothermal Laminar Round Free Jet
                  ","""...  Abstract: Jet transition towards a turbulent state is an interesting topic requiring a detailed analysis of the process leading to the onset and amplification of small flow disturbances. Here we examine experimentally the transition process for an isothermal laminar round free jet at low values of  ..."""
443,"
                  3D Face Recognition based on Deformation Invariant Image using Symbolic LDA
","""... Face recognition is one of the most important abilities that the humans possess. There are several reasons for the growing interest in automated face recognition, including rising concerns for public security, the need for identity verification for physical and logical access to shared resources, an ..."""
444,"
                  A Refinement: Better Classification of Images using LDA in Contrast with SURF and SVM for CBIR System
                  ","""... Content Based Image Retrieval or CBIR is the image retrieval process which is based on visual features including color, texture and shape. Image databases that are large in size and traditional indexing of images have proven to be less sufficient, more laborious and extremely time consuming which le ..."""
445,"
                  A Hybrid Technique for Medical Image Denoising using NN, Bilateral filter and LDA
","""... Abstract-Medical imaging technology is becoming an important component of large numbers of applications such as diagnosis, Treatment and research. Medical images like CT, X-Ray, MRI, PET and SPECT have minute information about heart, nerves and brain. These images need to be more accurate and free f ..."""
446,"
                  Improving 2D Boosted Classifiers Using Depth LDA Classifier for Robust Face Detection
                  ","""... Face detection plays an important role in Human Robot Interaction. Many of services provided by robots depend on face detection. This paper presents a novel face detection algorithm which uses depth data to improve the efficiency of a boosted classifier on 2D data for reduction of false positive ala ..."""
447,"
                  1APPLICATION OF LDA AND PIV TECHNIQUES TO THE VALIDATION OF VECTIS USING BOUNDARY MESH MOTION
                  ","""... Computational fluid dynamics (CFD) is being increasingly used to analyse gasoline direct injection (G-DI) combustion systems in the early stages of design and development. Consequently, it is important to ensure that the CFD codes are both fast and accurate. The objective of the work presented in th ..."""
448,"
                  Using LDA Method to Provide Mobile Location Estimation Services within a Cellular Radio Network
                  ","""... Abstract — Mobile location estimation is becoming an important value-added service for a mobile phone operator. It is well-known that GPS can provide an accurate location estimation. But it is also a known fact that GPS does not perform well in urban areas like downtown New York and cities like Hong ..."""
449,"
                  1Appendix for Latent Dirichlet Allocation Models for Image Classification APPENDIX I VARIATIONAL INFERENCE IN LDA MODELS
                  ","""... consists of computing the posterior distribution of the unob-served variables, P (pi, z1:N |I) 1. Learning involves estimating the parameters (α,Λ1:K), by maximizing the log likelihood, l = logP (D) of a training image dataset D. Inference and learning are not tractable under LDA. A wide range of ap ..."""
450,"
                  A latent dirichlet allocation method for selectional preferences
                  ","""... The computation of selectional preferences, the admissible argument values for a relation, is a well-known NLP task with broad applicability. We present LDA-SP, which utilizes LinkLDA (Erosheva et al., 2004) to model selectional preferences. By simultaneously inferring latent topics and topic distri ..."""
451,"
                  Facial Face Recognition Method using Fourier Transform Filters Gabor and R_LDA
","""... In this paper, we present a new approach for facial face recognition. The method is based on the Fourier transform of Gabor filters and the method of regularized linear discriminate analysis applied to facial features previously localized. The process of facial face recognition is based on two phase ..."""
452,"
                  Open Access An Improved Lda Model in Micro-Blog Tags Extracting Based on Multi- Tags
                  ","""... Abstract: This article mainly discusses how to extract the interested information from massive amounts of micro-blogs and recommend right information to user, which is a hot research area in recommendation systems and social networks, too. To solve this problem, a model called Multi-tags Latent Diri ..."""
453,"
                  A New Face Recognition Framework: Symmetrical Bilateral 2DPLS plus LDA
","""... All in-text	references	underlined	in	blue	are	linked	to	publications	on	ResearchGate, letting you	access	and	read	them	immediately. ..."""
454,"
LDA Measurements of Steady and Unsteady Flow Through the Induction System of a Heavy Duty Diesel Engine
                  ","""... The appearance of the ISSN code at the bottom of this page indicates SAE&aposs consent that copies of the paper may be made for personal or internal use of specific clients. This consent is given on the condition, however, that the copier pay a $5.00 per article copy fee through the Copyright Clear ..."""
455,"
                  An LDA Study of the Backward- Facing Step FIow 3 Including the Effects of Velocity Bias
                  ","""...  ..."""
456,"
LDA Measurements of lean Velocity and Reynolds Stress Fields Within an Artificial Heart Ventricle
                  ","""...  ..."""
457,"
                  New Journal of Physics Electronic structure and band gap of zinc spinel oxides beyond LDA: ZnAl 2 O
                  ","""...  Abstract. We examine the electronic structure of the family of ternary zinc spinel oxides ZnX 2 O 4 (X = Al, Ga and In). The band gap of ZnAl 2 O 4 calculated using density functional theory (DFT) is 4.25 eV and is overestimated compared with the experimental value of 3.8-3.9 eV. The DFT band gap o ..."""
458,"
                  Towards Automatic Requirements Elicitation from Feedback Comments: Extracting Requirements Topics Using LDA
","""...  Abstract ..."""
459,"
                  © Science and Technology Publications, Lda (SciTePress) 2010. Modeling Sensor Knowledge of a National Hydrologic
                  ","""... Abstract. In this paper we describe our experience in modeling and using sensor knowledge of a national hydrologic information system in Spain. We developed a web application called VSAIH supported by a knowledge-based system to analyze sensor data and to generate explanations that help users to mak ..."""
460,"
                  Applying LDA in contextual image retrieval ReDCAD participation at ImageCLEF Flickr Photo Retrieval 2012
                  ","""... tn} ..."""
461,"
                  La1−xSrxTiO3 using LDA+DMFT(QMC)
                  ","""... (will be inserted by the editor) ..."""
462,"
                  Content based Image Processing using Relevance Feedback with Null Space LDA (NLDA)
                  ","""... The biggest problem in the research of Content Based Image Retrieval (CBIR) is bridge the gap between low-level features and high-level semantics., Still many shortcomings for image retrieval system only with the low level visual features due to the semantic space. It is better for the relevance fee ..."""
463,"
                  An LDA-smoothed Relevance Model for Document Expansion: A Case Study for Spoken Document Retrieval
                  ","""... Document expansion (DE) in information retrieval (IR) involves modifying each document in the collection by introducing additional terms into the document. It is particularly useful to improve retrieval of short and noisy documents where the additional terms can improve the description of the docume ..."""
464,"
                  CONFIDENTIAL. Limited circulation. For review only. Characterizing user-subgroups in Flickr Group: A Block LDA based
                  ","""... approach ..."""
465,"
                  www.elsevier.com/locate/patcog Linear dimensionalityreduction using relevance weighted LDA
","""...  ..."""
466,"
                  MRI On The Fly: Accelerating MRI Imaging Using LDA Classification with LDB Feature Extraction
                  ","""... this document ..."""
467,"
                  Combined Investigations on Disturbance Development in a Laminar Separation Bubble by Means of PIV, LDA and DNS
                  ","""... Laminar separation bubbles (LSB) are an essential feature of the flow field in many technical applications at low to medium Reynolds numbers, for example laminar-airfoil sections or high-lift devices. A LSB occurs if the laminar boundary layer separates due to a strong adverse pressure gradient. The ..."""
468,"
                  CS540 Spring 2010: homework 4 1 Logistic regression vs LDA/QDA
                  ","""... Suppose we train the following binary classifiers via maximum likelihood. 1. GaussI: A generative classifier, where the class conditional densities are Gaussian, with both covariance matrices set to I (identity matrix), i.e., p(x|y = c)  = N (x|µ c, I). We assume p(y) is uniform. 2. GaussX: as for G ..."""
469,"
                  double precision BETA complex*16 ALPHA, A(LDA,*), B(LDB,*), C(LDC,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F06ZRF (ZHER2K) performs one of the Hermitian rank-2k update operations C AB H þ BA H þ C or C A H B þ B H  ..."""
470,"
                  complex*16 A(LDA,*), B(LDB,*), U(LDU,*), V(LDV,*), Q(LDQ,*),
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08YSF (ZTGSJA) computes the generalized singular value decomposition (GSVD) of two complex upper trapezoid ..."""
471,"
                  double precision RWORK(*) complex*16 A(LDA,*), W(*), V(LDV,*), WORK(LWORK) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
472,"
                  double precision RWORK(*) complex*16 A(LDA,*), W(*), Z(LDZ,*), WORK(LWORK) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
473,"
                  double precision A(LDA,*), B(LDB,*), Q(LDQ,*), Z(LDZ,*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08YFF (DTGEXC) reorders the generalized Schur factorization of a matrix pair in real generalized Schur for ..."""
474,"
                  A Least-Squares Unified View of PCA, LDA, CCA and Spectral Graph Methods  
                  ","""...  Over the last century Component Analysis (CA) methods such as Principal Component ..."""
475,"
                  REAL (KIND=nag_wp) SCALE(N) COMPLEX (KIND=nag_wp) A(LDA,*) CHARACTER(1)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NVF (ZGEBAL) balances a complex general matrix in order to improve the accuracy of computed eigenvalues  ..."""
476,"
                  COMPLEX (KIND=nag_wp) A(LDA,*), TAU(*), WORK(max(1,LWORK))
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08KTF (ZUNGBR) generates one of the complex unitary matrices Q or P H which were determined by F08KSF (ZGE ..."""
477,"
                  REAL (KIND=nag_wp) A(LDA,*), TAU(min(M,N)), WORK(3*N)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
478,"
                  REAL (KIND=nag_wp) A(LDA,*), TAU(*), WORK(max(1,LWORK))
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08KFF (DORGBR) generates one of the real orthogonal matrices Q or P T which were determined by F08KEF (DGE ..."""
479,"
                  double precision A(LDA,N), B(LDB,NRHS), X(LDX,NRHS), WORK(N*NRHS)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F07ACF (DSGESV) computes the solution to a real system of linear equations AX  B, where A is an n by n matr ..."""
480,"
                  complex*16 A(LDA,*), THETA(*), WORK(max(M-1,NROWP-M,1)) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F01RKF returns the first ‘ rows of the n by n unitary matrix P H, where P is given as the product of Househ ..."""
481,"
                  double precision A(LDA,*), WR(N), WI(N), Z(LDZ,*), WORK(LWORK) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F02EAF computes all the eigenvalues, and optionally the Schur factorization, of a real general matrix. ..."""
